1012.5,0,3,3375000000,0,500000,2,20,2,337.5,0,3,,,,337.5,1
668.25,0,3,2227500000,0,500000,2,20,2,222.75,0,3,,,,222.75,1
35.77,-0.25,3,488179888,0,798255,2,15,2,56,-0.25,3,,,,56,1
314.7019868,0,2,0,0,0,0,10,0,0,0,0,,,,0,1
40.95,0.07,3,3233040,0,2400,2,10,2,1347,0.07,3,,,,1347,1
300,0.07,2,20000000,2,4000,2,10,2,115,0.07,,1096,0,2,115,1
221.6,0.07,2,777112,2,1590,2,10,2,488.75,0.07,,810,0,2,488.75,1
223.9126614,0.07,3,33880000,0,22000,2,20,2,98.97088712,0.07,3,645,0,3,98.97088712,3
223.9126614,0.07,3,33880000,0,22000,2,20,2,98.97088712,0.07,3,637,0,3,98.97088712,3
21.37,0,2,160000000,0,365000,2,30,2,438.36,0,2,12.05,0,2,438.36,1
7.5,0,2,56250000,0,50000,2,50,2,1125,0,2,,,,1125,1
0,0,0,,,,,,,,,,,,,,
0,0,3,,,,,0,0,0,0,3,,,,0,1
719.04,0,3,,,,,0,0,136.96,0,3,,,,136.96,1
1284,0,3,,,,,0,0,321,0,3,,,,321,1
3449.08,0,3,,,,,20,3,4220,0,3,,,,4220,1
3449.08,0,3,,,,,20,3,4220,0,3,,,,4220,1
180,0.07,3,,,,,10,3,1500,0.07,3,,,,1500,1
204,0,3,,,,,,,,,,,,,,
204,0,3,,,,,,,,,,,,,,
72,0.07,3,,,,,,,,,,,,,,
